nr,gemeente,provincie,oppervlakteverblijfsobject,Postcode,Huisnr,Type woning
1,Meppel,Drenthe,81,7941BZ,24,Rij/Tussen
2,Meppel,Drenthe,85,7941KG,27,Appartement
3,Assen,Drenthe,93,9401JG,21,Hoek/2-onder-1-kap
4,Assen,Drenthe,96,9401LX,2,Vrijstaand
5,Assen,Drenthe,112,9401LL,20,Rij/Tussen
6,Meppel,Drenthe,118,7941AP,24,Appartement
7,Assen,Drenthe,131,9401NV,24,Hoek/2-onder-1-kap
8,Assen,Drenthe,140,9401BX,26,Vrijstaand
9,Assen,Drenthe,161,9401JT,2,Rij/Tussen
10,Meppel,Drenthe,167,7941KN,24,Appartement
11,Assen,Drenthe,178,9401AM,21,Hoek/2-onder-1-kap
12,Assen,Drenthe,190,9401EH,23,Vrijstaand
13,Assen,Drenthe,212,9401JP,2,Rij/Tussen
14,Assen,Drenthe,220,9401HP,2,Appartement
15,Assen,Drenthe,229,9401RB,23,Hoek/2-onder-1-kap
16,Meppel,Drenthe,240,7941AG,20,Vrijstaand
17,Lelystad,Flevoland,90,8231CK,20,Rij/Tussen
18,Lelystad,Flevoland,90,8231CM,29,Appartement
19,Lelystad,Flevoland,90,8231GJ,25,Hoek/2-onder-1-kap
20,Lelystad,Flevoland,92,8219CD,27,Vrijstaand
21,Lelystad,Flevoland,110,8231CB,2,Rij/Tussen
22,Lelystad,Flevoland,125,8231EP,24,Appartement
23,Lelystad,Flevoland,130,8212CL,201,Hoek/2-onder-1-kap
24,Lelystad,Flevoland,139,8219BM,20,Vrijstaand
25,Lelystad,Flevoland,140,8212BB,27,Rij/Tussen
26,Lelystad,Flevoland,160,8231BJ,24,Appartement
27,Lelystad,Flevoland,160,8231BR,25,Hoek/2-onder-1-kap
28,Lelystad,Flevoland,170,8231JJ,28,Vrijstaand
29,Lelystad,Flevoland,211,8241CN,202,Rij/Tussen
30,Lelystad,Flevoland,218,8219AN,21,Appartement
31,Lelystad,Flevoland,238,8211BE,204,Hoek/2-onder-1-kap
32,Lelystad,Flevoland,253,8218ND,2,Vrijstaand
33,Heerenveen,Friesland,81,8411VS,26,Rij/Tussen
34,Heerenveen,Friesland,84,8441DT,22,Appartement
35,Heerenveen,Friesland,90,8441BH,23,Hoek/2-onder-1-kap
36,Heerenveen,Friesland,92,8441CB,21,Vrijstaand
37,Heerenveen,Friesland,105,8441AV,25,Rij/Tussen
38,Heerenveen,Friesland,117,8491BT,23,Appartement
39,Heerenveen,Friesland,122,8491DE,29,Hoek/2-onder-1-kap
40,Heerenveen,Friesland,145,8411XS,28,Vrijstaand
41,Heerenveen,Friesland,159,8414LW,24,Rij/Tussen
42,Heerenveen,Friesland,162,8441EP,2,Appartement
43,Heerenveen,Friesland,164,8491GR,22,Hoek/2-onder-1-kap
44,Heerenveen,Friesland,182,8415AR,2,Vrijstaand
45,Heerenveen,Friesland,215,8411XR,22,Rij/Tussen
46,Heerenveen,Friesland,221,8414LM,29,Appartement
47,Heerenveen,Friesland,232,8491GC,2,Hoek/2-onder-1-kap
48,Heerenveen,Friesland,244,8413NW,2,Vrijstaand
49,Wageningen,Gelderland,81,6701AE,25,Rij/Tussen
50,Wageningen,Gelderland,82,6701JA,26,Appartement
51,Wageningen,Gelderland,84,6701ED,28,Hoek/2-onder-1-kap
52,Wageningen,Gelderland,90,6701AD,20,Vrijstaand
